Id_Interview;Thème;Interview
1;;Il doit y avoir un peu des deux parce qu'il doit avoir de l'affectif, beaucoup. Enfin, il y avait certainement beaucoup d'affectif. Et puis, il y avait surtout le fait que on avait envie que nos enfants grandissent ... enfin, on avait envie d'élever nos enfants au village en fait. Mon mari, il a habité à Marseille, il a fait toute sa scolarité à Marseille, bien qu’originaire d'ici aussi. On avait envie d'autres choses pour eux, d'autres choses que ce qu'on avait connu nous. Après, c'était un choix, c'était notre choix à nous, donc on a essayé qu’au fur et à mesure de leur de leur vie, ça, ça ne pèse pas trop pour eux, qui s'y plaisent et qu’ils aient quand même accès à tout ce qu'ils avaient envie de faire, voilà les activités extra-scolaires et tout ça. Voilà, on a quand même fait beaucoup de voiture pour leur permettre de faire les mêmes activités que des enfants qui auraient grandi dans une ville quoi.  
2;;Ça pour eux, ça a jamais pesé pour vos enfants, vous pensez d'avoir vécu un peu loin comme ça ou le fait que justement vous cherchiez vraiment à leur donner accès à ces activités ils ont pas coup, ressenti ...  
3;;Non, je pense pas qu'ils aient ressenti de manque. Après bon, c'est sûr que les histoires des trajets et tout, il y a des moments où c'est un peu pesant. Voilà, surtout par rapport au quotidien de la scolarité, quand ils sont à l'école ici, c'est bien, mais dès qu'ils ont attaqué le collège à Corte, la transition, pas pour tous d'ailleurs, mais pour certains était un peu difficile mais sinon à part ça, à part l'histoire des trajets ... 
4;;Et vous projetez de rester vivre sur Lozzi ou vous savez pas trop ? Ou vous envisagez de partir, peut-être même plus tard??  
5;;Alors pour l'instant non absolument pas, on n'envisage pas de vivre ailleurs. Après je sais pas ce que ce que l'avenir nous réserve. Mais a priori, on est confortés dans notre choix et que voilà en tout cas, nous, on est bien. Après on va pas dire à nos enfants de rester là forcément et voilà, ils feront leur choix et au contraire s'ils veulent partir ... 
6;;L’aîné à 20 ans, donc il est parti sur le continent faire ses études. Il est sur le continent. Avec l'idée de revenir, mais il est parti, voilà, euh, après ma fille elle est en première, au lycée à Corte et le dernier il est en 4e.  
7;;Bon votre fils on se pose pas trop encore la question, mais votre fille elle vous savez si elle va aller à l'université de Corte??  
8;;Elle va probablement commencer à Corte mais après ce qu'elle veut faire, elle pourra pas continuer donc voilà, mais elle a envie de partir aussi.  
9;;Après on peut pas trop savoir, mais en tout cas son choix d'étude c'est parce qu'il a un projet de de vie ici quoi. Il fait une un double cursus en fait qui est lié à l'environnement et l'autre au sport en milieu de montagne. Et lui son projet de vie, c'est de de vivre ici et de faire accompagnateur. Enfin voilà ce genre de choses. Après ça peut changer, hein. Voilà, au départ, il est parti. Il est en Savoie en fait, il est dans les Alpes quoi.  
10;;Pour nous, on s'y sent très bien. Après point positif, le cadre, le fait de de vivre dans un cadre ... enfin auprès de la nature, nous, c'est ce qu'on recherchait. Après, on n'est pas nombreux mais en fait bon, on n'est pas nombreux mais on se connaît tous. On est quand même, on a encore un peu, un esprit de de communauté. Voilà, pour moi, c'est l'essentiel. Après, si on veut voir autre chose, on a les moyens de partir aujourd'hui, enfin, de partir, de voyager ou même d'aller à la ville, enfin voilà. Donc, pour nous, c'est pas du tout un poids. Après oui, moi je suis contente que mes enfants puissent le week-end sortir après 12h00 dans le village avec leurs copains sans crainte, qu'ils soient pas toujours à la maison sur des écrans. Enfin, ce genre de choses quoi.  
