Id_Interview,Thème,Interview,text-translated,Text-translated,Sentiment,neg,neu,pos,compound
25,Qualité logement,"Grande importance de la vie en communauté, même en ville?: volonté de vouloir reproduire en quelque sorte la vie de village au sein dun quartier, avait besoin de quelque chose à dimension humaine, connaître les gens et avoir ses habitudes.Cest quelque chose quil a eu du mal à retrouver dans dautres grandes villes (notamment Paris) et à Ajaccio il a pu retrouver des «?mini-communautés?»  ",,"Great importance of community life, even in the city?: desire to want to somehow reproduce village life within a neighborhood, needed something on a human scale, to know the people and have their habits.C is something that he had difficulty finding in other large cities (notably Paris) and in Ajaccio he was able to find “mini-communities?”","{'neg': 0.038, 'neu': 0.786, 'pos': 0.176, 'compound': 0.8205}",0.038,0.786,0.176,0.8205
26,Qualité logement,"Pas sur une recherche de lanonymat comme on pourrait le penser mais dun côté sil habitait dans un village il rechercherait peut-être lanonymat?: «?vivre à Ajaccio cest une espèce dentre-deux qui est assez agréable parce que je vis en ville, je suis capable davoir ce côté urbain et dynamique ici, tout en gardant un pied dans quelque chose qui est un peu plus à échelle humaine?» ",,"Not on a search for anonymity as one might think but on the one hand if he lived in a village he would perhaps seek anonymity: “living in Ajaccio is a kind of in-between which is quite pleasant because I live in the city, I am able to have this urban and dynamic side here, while keeping one foot in something which is a little more on a human scale?","{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.9272}",0.0,0.827,0.173,0.9272
27,Voisinage,"Une des participantes a «?horreur de lanonymat?» et préfère connaître les personnes, avoir la possibilité de discuter avec.",,"One of the participants has a “horror of anonymity?” and prefers to know people, to have the opportunity to chat with them.","{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.4215}",0.0,0.877,0.123,0.4215
28,Espace rencontre culture,Importance de la diversité culturelle dans le milieu de vie urbain  ,,Importance of cultural diversity in the urban living environment,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.0,0.762,0.238,0.3612
29,Entretien espace public et paysage,Parfois pas toujours le cas mais cest un point important ,,Sometimes not always the case but it is an important point,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.0,0.82,0.18,0.296
30,Entretien espace public et paysage,Question importante car un très gros facteur de la qualité de vie «?même sil y a une marge de progrès sur le territoire?» ,,Important question because a very big factor in the quality of life “even if there is room for progress in the territory?”,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5574}",0.0,0.805,0.195,0.5574
31,Proximité commerce et services,"Le fait de pouvoir emmener les enfants aux activités extra-scolaires revient chez plusieurs participants, pour leur éviter trop de trajets et aussi ne pas leur faire louper des opportunités.Ne veut pas vivre au village avec les enfants en bas âge  ",,"The fact of being able to take the children to extra-curricular activities comes up for several participants, to save them from having to travel too much and also not to make them miss out on opportunities. Does not want to live in the village with young children","{'neg': 0.055, 'neu': 0.833, 'pos': 0.112, 'compound': 0.6096}",0.055,0.833,0.112,0.6096
32,Proximité espace vert et biodiversité,Importance davoir un bon logement mais davoir aussi des espaces de nature à proximité pour «?sévader?»  ,,Importance of having good accommodation but also having natural spaces nearby to “get away from it all”,"{'neg': 0.0, 'neu': 0.668, 'pos': 0.332, 'compound': 0.714}",0.0,0.668,0.332,0.714
33,Proximité espace vert et biodiversité,"Encore une fois, lexpérience joue beaucoup car un des participants explique avoir vécu sur le Cours Napoléon pendant quelques années (donc une expérience de «?lurbain total?») et il a eu besoin de se rapprocher un peu plus de conditions proches du rural, tout en habitant en ville (=> évolution des critères au fil du temps et des expériences que lon vit) ",,"Once again, experience plays a big role because one of the participants explains having lived on the Cours Napoléon for a few years (therefore an experience of “total urbanity”) and he needed to get a little closer to the conditions. close to rural areas, while living in the city (=> evolution of criteria over time and the experiences we live)","{'neg': 0.0, 'neu': 0.966, 'pos': 0.034, 'compound': 0.25}",0.0,0.966,0.034,0.25
34,Proximité espace vert et biodiversité,Pour certains cétait important mais ne lont pas choisi car ils ont la possibilité daller au village pour obtenir cet accès à la nature?: «?le choix quon a fait de vivre à Ajaccio ne nous contraint pas par rapport à ça?»  ,,"For some it was important but they did not choose it because they have the possibility of going to the village to obtain this access to nature: ""the choice we made to live in Ajaccio does not constrain us in relation to that?""","{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.1027}",0.0,0.968,0.032,0.1027
35,Proximité espace vert et biodiversité,La situation familiale est déterminante dans le choix des critères?: importance davoir une situation géographique qui permet de les emmener facilement à lécole et de leur faire faire des activités.  ,,The family situation is decisive in the choice of criteria: importance of having a geographical location which makes it easy to take them to school and have them do activities.,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.743}",0.0,0.781,0.219,0.743
36,Proximité espace vert et biodiversité,Permet aux enfants aussi dêtre indépendants en grandissant  ,,Allows children to be independent as they grow up,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
37,Proximité espace vert et biodiversité,"Un des participants explique que depuis quil a un enfant, cest là où il a commencé à se poser toutes ces questions tandis quavant il était plus urbain dans sa façon de réfléchir.  ",,"One of the participants explains that since he had a child, this is where he started to ask himself all these questions whereas before he was more urban in his way of thinking.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
